Bins0,Bins1,Bins2,Bins3,Bins4,Bins5,Bins6,Bins7
3534,0,0,0,0,0,0,10390
4227,0,0,0,0,0,0,11140
3771,0,0,0,0,0,0,11215
4014,0,0,0,0,0,0,12628
3819,0,0,0,0,0,0,12691
2403,0,0,0,0,0,0,8170
2934,0,0,0,0,0,0,8266
5745,0,0,0,0,0,0,14410
5937,0,0,0,0,0,0,9115
5256,0,0,0,0,0,2,15758
3591,0,0,0,0,0,0,11641
5685,0,0,0,0,0,0,10363
6420,0,0,0,0,0,0,5680
2592,0,0,0,0,0,5,10703
6309,0,0,0,0,0,0,9058
5325,0,0,0,0,0,0,13960
5706,0,0,0,0,0,0,12790
6171,0,0,0,0,0,0,18949
11262,0,0,0,0,0,0,13609
5301,0,0,0,0,0,0,12769
4116,0,0,0,0,0,2,12392
5880,0,0,0,0,0,0,15943
5274,0,0,0,0,0,0,14356
7233,0,0,0,0,0,0,16021
6306,0,0,0,0,0,0,14104
5805,0,0,0,0,0,0,16543
9435,0,0,0,0,0,0,19090
7080,0,0,0,0,0,0,13945
6291,0,0,0,0,0,0,12205
5985,0,0,0,0,0,0,13954
5196,0,0,0,0,0,0,12094
4806,0,0,0,0,0,0,15514
6333,0,0,0,0,0,0,14149
4746,0,0,0,0,0,0,12544
5094,0,0,0,0,0,0,15061
4815,0,0,0,0,0,0,13456
5091,0,0,0,0,0,0,12589
4731,0,0,0,0,0,0,14989
6873,0,0,0,0,0,0,12487
6153,0,0,0,0,0,0,12307
5022,0,0,0,0,0,0,15550
4644,0,0,0,0,0,0,16816
5220,0,0,0,0,0,0,13195
5616,0,0,0,0,0,0,14539
8214,0,0,0,0,0,0,14578
5064,0,0,0,0,0,0,14113
5934,0,0,0,0,0,0,13750
5637,0,0,0,0,0,0,18523
6324,0,0,0,0,0,0,16396
10470,0,0,0,0,0,0,13708
5847,0,0,0,0,0,0,15178
4764,0,0,0,0,0,0,14140
3921,0,0,0,0,0,0,11446
4329,0,0,0,0,0,0,9586
3516,0,0,0,0,0,0,9310
3588,0,0,0,0,0,0,9238
4692,0,0,0,0,0,0,12556
4506,0,0,0,0,0,0,13909
3486,0,0,0,0,0,0,12754
3264,0,0,0,0,0,0,13636
3888,0,0,0,0,0,0,12604
5655,0,0,0,0,0,0,14083
4758,0,0,0,0,0,0,13657
4602,0,0,0,0,0,0,12580
5793,0,0,0,0,0,0,15196
3891,5,0,0,0,33,0,11411
4032,0,0,0,0,0,0,9892
4662,0,0,0,0,489,0,13573
5067,0,0,0,0,0,0,14617
4782,0,0,0,0,0,0,13852
5613,0,0,0,0,0,0,14107
4719,0,0,0,0,0,0,13351
4899,0,0,0,0,0,0,15550
5256,0,0,0,0,0,1,14907
5385,0,0,0,0,0,0,14743
5079,0,0,0,0,0,0,15049
6651,0,0,0,0,0,0,17773
5937,0,0,0,0,0,0,15019
6153,0,0,0,0,0,0,15307
11229,0,0,0,0,0,0,12346
5079,0,0,0,0,0,0,13996
5559,0,0,0,0,0,0,14029
5025,0,0,0,0,0,0,13390
5493,0,0,0,0,0,0,11017
4278,0,0,0,0,0,0,11098
3243,0,0,0,0,0,0,10645
4524,0,0,0,0,0,0,13936
12678,0,0,0,0,0,0,15154
2448,0,0,0,0,0,0,7834
4203,0,0,0,0,0,0,10747
3774,0,0,0,0,0,14,10817
3138,0,0,0,0,0,0,12556
4971,0,0,0,0,0,0,14350
7500,0,0,0,0,0,0,13072
3696,0,0,0,0,0,0,9820
3984,0,0,0,0,0,0,11383
12201,0,0,0,0,0,0,14224
5193,8,0,0,0,8,0,15363
4686,0,0,0,0,0,0,12994
7461,0,0,0,0,0,0,14239
7245,0,0,0,0,0,0,19315
6564,0,0,0,0,0,0,13972
7290,0,0,0,0,0,0,15964
3936,0,0,0,0,0,0,11359
4914,0,0,0,0,0,0,13936
3276,0,0,0,0,0,0,11674
3990,0,0,0,0,0,0,11740
3573,0,0,0,0,0,0,12157
3021,0,0,0,0,0,0,11077
4395,0,0,0,0,0,0,12787
5163,0,0,0,0,0,0,12382
8475,0,0,0,0,0,0,16465
5709,0,0,0,0,0,0,11971
4659,0,0,0,0,0,0,11797
5814,0,0,0,0,0,0,15628
4149,0,0,0,0,0,0,13939
6957,0,0,0,0,0,2,13196
6968,3,2,0,0,156,0,12810
6462,0,0,0,0,0,0,15433
7466,0,0,0,0,202,0,9604
8954,1,1,0,3,650,0,14461
7827,3,0,136,0,55,0,17543
5277,0,0,0,0,0,0,13210
5391,0,0,0,0,0,0,13096
6315,0,0,0,0,0,0,18298
4173,0,0,0,0,0,0,11956
5301,0,0,0,0,0,0,16051
5169,0,0,0,0,0,0,12865
3627,0,0,0,0,0,0,12067
6282,0,0,0,0,0,0,17788
4590,0,0,0,0,0,0,12301
3996,0,0,0,0,0,0,12133
3645,0,0,0,0,0,0,10633
4179,0,0,0,0,0,0,12277
8664,0,0,0,0,0,0,16036
4497,0,0,0,0,0,0,10870
3159,0,0,0,0,0,3,11116
2502,0,0,0,0,0,3,9049
1656,0,0,0,0,0,6,6610
4782,0,0,0,0,0,0,13714
5445,0,0,0,0,0,0,15544
3471,0,0,0,0,0,0,12622
2997,0,0,0,0,0,0,7123
5502,0,0,0,0,0,0,15088
1737,0,0,0,0,0,0,7945
4617,0,0,0,0,0,0,12655
4629,0,0,0,0,0,0,14095
5862,0,0,0,0,0,0,16042
6947,22,0,0,1,11,2,17177
5901,0,0,0,0,0,0,13420
5910,0,0,0,0,0,0,18739
5343,0,0,0,0,0,0,15229
6045,0,0,0,0,0,0,15823
4305,0,0,0,0,0,0,7885
4842,0,0,0,0,0,0,10453
4365,0,0,0,0,0,0,14131
4248,0,0,0,0,0,0,13840
5724,0,0,0,0,0,0,13162
5406,0,0,0,0,0,0,14224
7953,0,0,0,0,0,0,11359
6258,0,0,0,0,0,0,13342
2007,0,0,0,0,0,8,9485
4497,0,0,0,0,0,0,12775
9045,0,0,0,0,0,0,6433
5478,0,0,0,0,0,0,12502
3987,0,0,0,0,0,1,15297
6261,0,0,0,0,0,6,13453
3828,0,0,0,0,0,0,13036
4686,0,0,0,0,0,0,7858
4212,0,0,0,0,0,0,11908
4551,0,0,0,0,0,0,9709
2844,0,0,0,0,0,0,7756
3540,0,0,0,0,0,0,11800
6165,0,0,0,0,0,0,11743
4389,0,0,0,0,0,0,10597
2406,0,0,0,0,0,0,6994
5886,0,0,0,0,0,0,15574
3351,0,0,0,0,0,0,9874
3963,0,0,0,0,0,0,10297
4770,24,0,1,0,3,0,11658
3330,0,0,0,0,0,0,8515
5397,0,0,0,0,0,0,12835
5724,0,0,0,0,0,0,13834
6297,0,0,0,0,0,0,15598
7272,0,0,0,0,0,0,20248
4992,0,0,0,0,0,0,11500
4686,0,0,0,0,0,0,14200
10499,27,0,0,0,11,0,18423
4167,0,0,0,0,0,0,12163
6090,0,0,0,0,0,0,15352
4347,0,0,0,0,0,0,12109
5112,0,0,0,0,0,0,14572
4029,0,0,0,0,0,0,11611
2913,0,0,0,0,0,0,9967
3366,0,0,0,0,0,0,10333
2835,0,0,0,0,0,0,10381
4518,0,0,0,0,0,0,11212
5109,0,0,0,0,0,0,12571
7776,0,0,0,0,0,0,15754
4989,0,0,0,0,0,0,13183
14421,0,0,0,0,0,0,14269
3711,0,0,0,0,0,0,10204
3975,0,0,0,0,0,0,13678
4251,0,0,0,0,0,0,13039
4143,0,0,0,0,0,0,11152
4635,0,0,0,0,0,0,11485
4317,0,0,0,0,0,0,13372
4821,0,0,0,0,0,0,13675
8271,0,0,0,0,0,0,14605
7827,0,0,0,0,0,0,13525
4983,0,0,0,0,0,0,14737
12771,0,0,0,0,0,0,10030
4071,0,0,0,0,0,0,12421
4581,0,0,0,0,0,0,8608
6021,0,0,0,0,0,0,17233
4410,0,0,0,0,0,0,14440
4122,0,0,0,0,0,0,13912
5763,0,0,0,0,0,0,7063
3393,0,0,0,0,0,0,11947
4257,0,0,0,0,0,0,14593
3456,0,0,0,0,0,0,11911
2448,0,0,0,0,0,0,9424
4572,0,0,0,0,0,0,15058
6639,0,0,0,0,0,0,19441
3498,0,0,0,0,0,0,12595
3219,0,0,0,0,0,0,8317
3675,0,0,0,0,0,0,10603
2388,0,0,0,0,0,0,5896
3012,0,0,0,0,0,0,10558
2781,0,0,0,0,0,0,10789
10419,0,0,0,0,0,0,14194
6345,0,0,0,0,0,0,13810
6660,0,0,0,0,0,0,14284
4173,0,0,0,0,0,0,13735
3861,0,0,0,0,0,0,9355
3453,0,0,0,0,0,0,10771
4752,0,0,0,0,0,0,11758
5121,0,0,0,0,0,0,13231
3006,0,0,0,0,0,0,10210
2973,0,0,0,0,0,0,9907
4131,0,0,0,0,0,0,12379
3726,0,0,0,0,0,0,11278
3450,0,0,0,0,0,0,9085
3555,0,0,0,0,0,0,11431
3708,1,0,1,0,1,0,10921
5748,0,0,0,0,0,0,16120
4383,0,0,0,0,0,0,16642
6180,0,0,0,0,0,0,15400
6120,0,0,0,0,0,0,17026
3825,0,0,0,0,0,0,14263
6408,0,0,0,0,0,0,14392
4563,4,34,192,33,24,0,16610
5652,0,0,0,0,0,0,14086
4779,0,0,0,0,0,0,16237
2292,0,0,0,0,0,0,8308
3618,0,0,0,0,0,0,12874
6558,0,0,0,0,0,0,16696
2682,0,0,0,0,0,0,9826
3924,0,0,0,0,0,0,11026
2205,0,0,0,0,0,0,8605
3438,0,0,0,0,0,0,13453
4284,0,0,0,0,0,0,16672
5493,0,0,0,0,0,0,13741
5724,0,0,0,0,0,0,16099
3615,0,0,0,0,0,0,11761
5472,0,0,0,0,0,0,8626
6048,0,0,0,0,0,0,13192
3690,0,0,0,0,0,0,11677
2826,0,0,0,0,0,0,9682
2439,0,0,0,0,0,0,9406
3717,0,0,0,0,0,0,12013
4194,0,0,0,0,0,0,13096
4323,0,0,0,0,0,0,12187
3555,0,0,0,0,0,0,13336
3941,2,0,0,0,220,0,11204
3663,0,0,0,0,0,0,12067
4257,0,0,0,0,0,0,12253
3177,0,0,0,0,0,0,11455
5055,0,0,0,0,0,0,12979
3465,0,0,0,0,0,0,13399
2763,0,0,0,0,0,0,11161
3111,0,0,0,0,0,0,11113
4095,0,0,0,0,0,0,12580
2871,0,0,0,0,0,0,11389
2988,0,0,0,0,0,0,10228
3273,0,0,0,0,0,0,10642
3087,0,0,0,0,0,0,11917
3852,0,0,0,0,0,0,13693
3987,0,0,0,0,0,0,10654
7233,0,0,0,0,0,0,13063
4446,0,0,0,0,0,0,14839
3798,0,0,0,0,0,0,13492
2493,0,0,0,0,0,0,8116
3102,0,0,0,0,0,0,10114
3384,0,0,0,0,0,0,11992
3825,0,0,0,0,0,0,12499
3078,0,0,0,0,0,0,10111
3762,0,0,0,0,0,0,11932
8235,0,0,0,0,0,0,15835
4038,0,0,0,0,0,0,10594
5115,0,0,0,0,0,0,14515
5643,0,0,0,0,0,0,11722
3264,0,0,0,0,0,0,10960
3480,0,0,0,0,0,0,12160
3717,0,0,0,0,0,0,10543
4578,0,0,0,0,0,0,7267
5388,0,0,0,0,0,0,12292
3474,0,0,0,0,0,0,11158
3114,0,0,0,0,0,0,10075
4158,0,0,0,0,0,0,12334
2808,0,0,0,4,406,0,8582
4584,0,0,0,0,0,0,11164
