Bins0,Bins1,Bins2,Bins3,Bins4,Bins5,Bins6,Bins7,Class
3534,0,0,0,0,0,0,10390,0
4227,0,0,0,0,0,0,11140,0
3771,0,0,0,0,0,0,11215,0
4014,0,0,0,0,0,0,12628,0
3819,0,0,0,0,0,0,12691,0
2403,0,0,0,0,0,0,8170,0
2934,0,0,0,0,0,0,8266,0
5745,0,0,0,0,0,0,14410,0
5937,0,0,0,0,0,0,9115,0
5256,0,0,0,0,0,2,15758,0
3591,0,0,0,0,0,0,11641,0
5685,0,0,0,0,0,0,10363,0
6420,0,0,0,0,0,0,5680,0
2592,0,0,0,0,0,5,10703,0
6309,0,0,0,0,0,0,9058,0
5325,0,0,0,0,0,0,13960,0
5706,0,0,0,0,0,0,12790,0
6171,0,0,0,0,0,0,18949,0
11262,0,0,0,0,0,0,13609,0
5301,0,0,0,0,0,0,12769,0
4116,0,0,0,0,0,2,12392,0
5880,0,0,0,0,0,0,15943,0
5274,0,0,0,0,0,0,14356,0
7233,0,0,0,0,0,0,16021,0
6306,0,0,0,0,0,0,14104,0
5805,0,0,0,0,0,0,16543,0
9435,0,0,0,0,0,0,19090,0
7080,0,0,0,0,0,0,13945,0
6291,0,0,0,0,0,0,12205,0
5985,0,0,0,0,0,0,13954,0
5196,0,0,0,0,0,0,12094,0
4806,0,0,0,0,0,0,15514,0
6333,0,0,0,0,0,0,14149,0
4746,0,0,0,0,0,0,12544,0
5094,0,0,0,0,0,0,15061,0
4815,0,0,0,0,0,0,13456,0
5091,0,0,0,0,0,0,12589,0
4731,0,0,0,0,0,0,14989,0
6873,0,0,0,0,0,0,12487,0
6153,0,0,0,0,0,0,12307,0
5022,0,0,0,0,0,0,15550,0
4644,0,0,0,0,0,0,16816,0
5220,0,0,0,0,0,0,13195,0
5616,0,0,0,0,0,0,14539,0
8214,0,0,0,0,0,0,14578,0
5064,0,0,0,0,0,0,14113,0
5934,0,0,0,0,0,0,13750,0
5637,0,0,0,0,0,0,18523,0
6324,0,0,0,0,0,0,16396,0
10470,0,0,0,0,0,0,13708,0
5847,0,0,0,0,0,0,15178,0
4764,0,0,0,0,0,0,14140,0
3921,0,0,0,0,0,0,11446,0
4329,0,0,0,0,0,0,9586,0
3516,0,0,0,0,0,0,9310,0
3588,0,0,0,0,0,0,9238,0
4692,0,0,0,0,0,0,12556,0
4506,0,0,0,0,0,0,13909,0
3486,0,0,0,0,0,0,12754,0
3264,0,0,0,0,0,0,13636,0
3888,0,0,0,0,0,0,12604,0
5655,0,0,0,0,0,0,14083,0
4758,0,0,0,0,0,0,13657,0
4602,0,0,0,0,0,0,12580,0
5793,0,0,0,0,0,0,15196,0
3891,5,0,0,0,33,0,11411,0
4032,0,0,0,0,0,0,9892,0
4662,0,0,0,0,489,0,13573,0
5067,0,0,0,0,0,0,14617,0
4782,0,0,0,0,0,0,13852,0
5613,0,0,0,0,0,0,14107,0
4719,0,0,0,0,0,0,13351,0
4899,0,0,0,0,0,0,15550,0
5256,0,0,0,0,0,1,14907,0
5385,0,0,0,0,0,0,14743,0
5079,0,0,0,0,0,0,15049,0
6651,0,0,0,0,0,0,17773,0
5937,0,0,0,0,0,0,15019,0
6153,0,0,0,0,0,0,15307,0
11229,0,0,0,0,0,0,12346,0
5079,0,0,0,0,0,0,13996,0
5559,0,0,0,0,0,0,14029,0
5025,0,0,0,0,0,0,13390,0
5493,0,0,0,0,0,0,11017,0
4278,0,0,0,0,0,0,11098,0
3243,0,0,0,0,0,0,10645,0
4524,0,0,0,0,0,0,13936,0
12678,0,0,0,0,0,0,15154,0
2448,0,0,0,0,0,0,7834,0
4203,0,0,0,0,0,0,10747,0
3774,0,0,0,0,0,14,10817,0
3138,0,0,0,0,0,0,12556,0
4971,0,0,0,0,0,0,14350,0
7500,0,0,0,0,0,0,13072,0
3696,0,0,0,0,0,0,9820,0
3984,0,0,0,0,0,0,11383,0
12201,0,0,0,0,0,0,14224,0
5193,8,0,0,0,8,0,15363,0
4686,0,0,0,0,0,0,12994,0
7461,0,0,0,0,0,0,14239,0
7245,0,0,0,0,0,0,19315,0
6564,0,0,0,0,0,0,13972,0
7290,0,0,0,0,0,0,15964,0
3936,0,0,0,0,0,0,11359,0
4914,0,0,0,0,0,0,13936,0
3276,0,0,0,0,0,0,11674,0
3990,0,0,0,0,0,0,11740,0
3573,0,0,0,0,0,0,12157,0
3021,0,0,0,0,0,0,11077,0
4395,0,0,0,0,0,0,12787,0
5163,0,0,0,0,0,0,12382,0
8475,0,0,0,0,0,0,16465,0
5709,0,0,0,0,0,0,11971,0
4659,0,0,0,0,0,0,11797,0
5814,0,0,0,0,0,0,15628,0
4149,0,0,0,0,0,0,13939,0
6957,0,0,0,0,0,2,13196,0
6968,3,2,0,0,156,0,12810,0
6462,0,0,0,0,0,0,15433,0
7466,0,0,0,0,202,0,9604,0
8954,1,1,0,3,650,0,14461,0
7827,3,0,136,0,55,0,17543,0
5277,0,0,0,0,0,0,13210,0
5391,0,0,0,0,0,0,13096,0
6315,0,0,0,0,0,0,18298,0
4173,0,0,0,0,0,0,11956,0
5301,0,0,0,0,0,0,16051,0
5169,0,0,0,0,0,0,12865,0
3627,0,0,0,0,0,0,12067,0
6282,0,0,0,0,0,0,17788,0
4590,0,0,0,0,0,0,12301,0
3996,0,0,0,0,0,0,12133,0
3645,0,0,0,0,0,0,10633,0
4179,0,0,0,0,0,0,12277,0
8664,0,0,0,0,0,0,16036,0
4497,0,0,0,0,0,0,10870,0
3159,0,0,0,0,0,3,11116,0
2502,0,0,0,0,0,3,9049,0
1656,0,0,0,0,0,6,6610,0
4782,0,0,0,0,0,0,13714,0
5445,0,0,0,0,0,0,15544,0
3471,0,0,0,0,0,0,12622,0
2997,0,0,0,0,0,0,7123,0
5502,0,0,0,0,0,0,15088,0
1737,0,0,0,0,0,0,7945,0
4617,0,0,0,0,0,0,12655,0
4629,0,0,0,0,0,0,14095,0
5862,0,0,0,0,0,0,16042,0
6947,22,0,0,1,11,2,17177,0
5901,0,0,0,0,0,0,13420,0
5910,0,0,0,0,0,0,18739,0
5343,0,0,0,0,0,0,15229,0
6045,0,0,0,0,0,0,15823,0
4305,0,0,0,0,0,0,7885,0
4842,0,0,0,0,0,0,10453,0
4365,0,0,0,0,0,0,14131,0
4248,0,0,0,0,0,0,13840,0
5724,0,0,0,0,0,0,13162,0
5406,0,0,0,0,0,0,14224,0
7953,0,0,0,0,0,0,11359,0
6258,0,0,0,0,0,0,13342,0
2007,0,0,0,0,0,8,9485,0
4497,0,0,0,0,0,0,12775,0
9045,0,0,0,0,0,0,6433,0
5478,0,0,0,0,0,0,12502,0
3987,0,0,0,0,0,1,15297,0
6261,0,0,0,0,0,6,13453,0
3828,0,0,0,0,0,0,13036,0
4686,0,0,0,0,0,0,7858,0
4212,0,0,0,0,0,0,11908,0
4551,0,0,0,0,0,0,9709,0
2844,0,0,0,0,0,0,7756,0
3540,0,0,0,0,0,0,11800,0
6165,0,0,0,0,0,0,11743,0
4389,0,0,0,0,0,0,10597,0
2406,0,0,0,0,0,0,6994,0
5886,0,0,0,0,0,0,15574,0
3351,0,0,0,0,0,0,9874,0
3963,0,0,0,0,0,0,10297,0
4770,24,0,1,0,3,0,11658,0
3330,0,0,0,0,0,0,8515,0
5397,0,0,0,0,0,0,12835,0
5724,0,0,0,0,0,0,13834,0
6297,0,0,0,0,0,0,15598,0
7272,0,0,0,0,0,0,20248,0
4992,0,0,0,0,0,0,11500,0
4686,0,0,0,0,0,0,14200,0
10499,27,0,0,0,11,0,18423,0
4167,0,0,0,0,0,0,12163,0
6090,0,0,0,0,0,0,15352,0
4347,0,0,0,0,0,0,12109,0
5112,0,0,0,0,0,0,14572,0
4029,0,0,0,0,0,0,11611,0
2913,0,0,0,0,0,0,9967,0
3366,0,0,0,0,0,0,10333,0
2835,0,0,0,0,0,0,10381,0
4518,0,0,0,0,0,0,11212,0
5109,0,0,0,0,0,0,12571,0
7776,0,0,0,0,0,0,15754,0
4989,0,0,0,0,0,0,13183,0
14421,0,0,0,0,0,0,14269,0
3711,0,0,0,0,0,0,10204,0
3975,0,0,0,0,0,0,13678,0
4251,0,0,0,0,0,0,13039,0
4143,0,0,0,0,0,0,11152,0
4635,0,0,0,0,0,0,11485,0
4317,0,0,0,0,0,0,13372,0
4821,0,0,0,0,0,0,13675,0
8271,0,0,0,0,0,0,14605,0
7827,0,0,0,0,0,0,13525,0
4983,0,0,0,0,0,0,14737,0
12771,0,0,0,0,0,0,10030,0
4071,0,0,0,0,0,0,12421,0
4581,0,0,0,0,0,0,8608,0
6021,0,0,0,0,0,0,17233,0
4410,0,0,0,0,0,0,14440,0
4122,0,0,0,0,0,0,13912,0
5763,0,0,0,0,0,0,7063,0
3393,0,0,0,0,0,0,11947,0
4257,0,0,0,0,0,0,14593,0
3456,0,0,0,0,0,0,11911,0
2448,0,0,0,0,0,0,9424,0
4572,0,0,0,0,0,0,15058,0
6639,0,0,0,0,0,0,19441,0
3498,0,0,0,0,0,0,12595,0
3219,0,0,0,0,0,0,8317,0
3675,0,0,0,0,0,0,10603,0
2388,0,0,0,0,0,0,5896,0
3012,0,0,0,0,0,0,10558,0
2781,0,0,0,0,0,0,10789,0
10419,0,0,0,0,0,0,14194,0
6345,0,0,0,0,0,0,13810,0
6660,0,0,0,0,0,0,14284,0
4173,0,0,0,0,0,0,13735,0
3861,0,0,0,0,0,0,9355,0
3453,0,0,0,0,0,0,10771,0
4752,0,0,0,0,0,0,11758,0
5121,0,0,0,0,0,0,13231,0
3006,0,0,0,0,0,0,10210,0
2973,0,0,0,0,0,0,9907,0
4131,0,0,0,0,0,0,12379,0
3726,0,0,0,0,0,0,11278,0
3450,0,0,0,0,0,0,9085,0
3555,0,0,0,0,0,0,11431,0
3708,1,0,1,0,1,0,10921,0
5748,0,0,0,0,0,0,16120,0
4383,0,0,0,0,0,0,16642,0
6180,0,0,0,0,0,0,15400,0
6120,0,0,0,0,0,0,17026,0
3825,0,0,0,0,0,0,14263,0
6408,0,0,0,0,0,0,14392,0
4563,4,34,192,33,24,0,16610,0
5652,0,0,0,0,0,0,14086,0
4779,0,0,0,0,0,0,16237,0
2292,0,0,0,0,0,0,8308,0
3618,0,0,0,0,0,0,12874,0
6558,0,0,0,0,0,0,16696,0
