Bins0,Bins1,Bins2,Bins3,Bins4,Bins5,Bins6,Bins7,Class
5345,12,0,0,0,58,0,15601,1
6582,2,0,0,0,130,0,13024,1
7612,0,0,0,50,127,0,16419,1
5145,12,0,0,0,259,0,13044,1
4065,0,0,0,4,850,0,9815,1
4029,0,0,0,43,1101,0,10167,1
3829,0,0,0,14,451,0,13794,1
3211,0,0,0,53,282,0,11794,1
4238,0,0,0,8,116,0,11368,1
4158,0,0,0,2,255,0,14045,1
3673,0,0,0,18,105,0,12714,1
4476,0,0,0,0,457,0,14379,1
4228,52,0,0,0,231,0,14393,1
3606,0,0,0,0,457,0,9153,1
4305,0,0,0,0,0,0,11743,1
3672,0,0,0,20,226,0,11086,1
4116,0,0,0,28,519,0,11466,1
3408,0,0,0,16,78,0,11103,1
3885,0,0,0,38,129,0,12440,1
3976,11,0,0,11,40,0,12418,1
2888,0,1,0,45,38,4,6124,1
4726,9,0,0,0,474,0,11247,1
3438,0,0,0,0,121,0,9657,1
3323,0,0,0,20,37,0,12368,1
3481,12,0,0,4,489,4,12502,1
2652,0,0,0,0,307,1,6686,1
4134,0,0,0,2,402,2,11190,1
4125,3,0,0,11,193,0,13756,1
3199,0,0,0,60,943,0,10076,1
4610,1,0,0,30,105,0,12145,1
4553,0,5,0,62,54,1,13812,1
4029,1,0,0,6,226,0,13010,1
4452,3,1,0,0,22,1,13609,1
7653,5,0,0,3,53,0,16002,1
3699,0,0,0,1,337,0,9878,1
4515,0,0,0,30,59,0,15524,1
2808,0,0,0,1,141,1,8921,1
4017,1,0,0,0,130,0,11600,1
3925,1,0,0,47,83,0,12064,1
3355,0,0,0,136,84,0,10685,1
3789,4,0,0,0,106,0,9653,1
3956,7,0,0,0,615,0,7612,1
6669,0,0,0,0,98,0,11153,1
3772,0,0,0,75,26,0,11359,1
3325,0,0,0,91,185,0,11031,1
3966,7,0,0,146,315,0,10942,1
3533,0,0,0,30,118,0,12829,1
3387,9,0,0,0,18,0,10684,1
3427,0,0,0,6,630,0,12030,1
8013,0,0,0,0,153,0,15226,1
1017,0,0,0,0,0,0,1183,1
11565,0,0,0,0,0,0,11665,1
5400,8,0,0,0,376,0,15544,1
11889,0,0,0,0,124,0,15219,1
7011,0,0,0,0,222,0,15841,1
5091,10,0,0,1,210,0,12776,1
5097,0,0,0,0,149,0,9170,1
14373,0,0,0,0,102,0,19825,1
1962,0,0,0,0,242,0,9023,1
10383,0,0,0,0,134,0,14099,1
5190,0,0,0,0,149,0,10301,1
6099,0,0,0,0,75,0,12418,1
6543,0,0,0,0,0,0,6973,1
3015,0,0,0,0,36,0,5689,1
5241,5,0,0,0,4,0,11986,1
8598,0,0,0,0,179,0,16814,1
5718,0,0,0,0,55,0,8421,1
5532,0,0,0,0,128,0,10034,1
12747,0,0,0,0,112,0,16581,1
6627,0,0,0,0,0,0,9865,1
6753,0,0,0,0,0,0,10111,1
4707,0,0,0,1,217,0,8918,1
8973,0,0,0,0,159,0,17278,1
4410,0,0,0,0,153,0,9280,1
4317,0,0,0,0,198,0,10090,1
4323,0,0,0,0,0,0,8140,1
6441,0,0,0,0,0,0,10849,1
5211,0,0,0,0,133,0,10032,1
8007,0,0,0,0,0,0,9283,1
6942,0,0,0,0,0,0,8806,1
5232,0,0,0,0,142,0,13422,1
8523,0,0,0,0,117,0,14713,1
12510,0,0,0,0,0,0,12382,1
14895,0,0,0,0,0,0,18139,1
10596,0,0,0,0,196,0,14808,1
