rmean,gmean,bmean,rstd,gstd,bstd,rskew,gskew,bskew,rkur,gkur,bkur,Class
119.4032166,118.7400552,161.0048059,69.23261572,69.26154102,92.65429485,-1.12949515,-1.099936046,-1.131786242,-0.701675846,-0.743598506,-0.698021893,1
101.9617996,102.6313203,141.7193231,72.15679075,73.15323361,99.51108749,-0.691440717,-0.662435464,-0.696986201,-1.49952102,-1.522838997,-1.499667112,1
101.7256692,100.7642102,143.7860212,69.0600771,69.1209864,96.78968459,-0.770956068,-0.728347535,-0.788145366,-1.361565914,-1.394093686,-1.363225947,1
101.8095341,80.02291441,123.1358613,63.26436062,50.93279903,76.09976675,-0.956391978,-0.817517536,-0.957782894,-1.035804179,-1.057910441,-1.033147399,1
112.7236324,68.24440071,123.2335415,69.6181652,47.45626673,75.73869843,-0.945604672,-0.170528299,-0.947940584,-1.015042893,-0.709178672,-1.013801502,1
116.0395698,70.88148631,129.3617992,69.17986731,47.58162858,76.60501736,-1.020575453,-0.211102688,-1.03868631,-0.854365914,-0.540737292,-0.848001533,1
128.6068664,96.51332375,141.7763711,65.34343297,51.32495748,71.6863378,-1.418850891,-1.108744671,-1.422327494,0.088167331,-0.180705289,0.092336884,1
126.9453716,95.35078227,141.1069752,64.80225775,50.92073975,71.68429693,-1.409310462,-1.108345426,-1.413287399,0.056023975,-0.211446477,0.060524884,1
122.1730451,84.55352829,134.4162746,72.72805287,53.23010266,79.69222991,-1.046384559,-0.687155317,-1.050654893,-0.846414345,-0.894293172,-0.844461212,1
130.1751354,93.37778982,142.9452871,70.19794902,53.11465006,76.6812007,-1.280623851,-0.888936075,-1.286988445,-0.3002224,-0.4416894,-0.293395714,1
129.3347668,95.48400969,144.0148395,68.02577305,52.29687727,75.39455248,-1.34032821,-1.069890081,-1.341752959,-0.15041595,-0.34178878,-0.150919426,1
129.4522059,91.54737987,141.82907,71.04300551,52.91113461,77.48653595,-1.239040059,-0.900510665,-1.246241497,-0.41186847,-0.584963115,-0.403178081,1
129.9704824,93.14261532,143.9185887,69.09673309,51.79590097,76.16937358,-1.316284167,-1.009837418,-1.322743564,-0.216266909,-0.424563096,-0.207084376,1
110.2217766,69.63831719,119.8843069,67.56743054,46.92785693,73.14990088,-0.965280881,-0.279181166,-0.964608551,-0.973465368,-0.605354375,-0.974139375,1
